Team Name,Ram Racing,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 24, 2021",,,,,
Race Location,Miami Coral Park High,,,,,
Race Time Start,11:19 AM,,,,,
Race Time End,11:23 AM,,,,,
Race Type (dropdown),5-Min Consistency,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,16.51,,,,,
2,16.25,,,,,
3,15.21,,,,,
4,15.63,,,,,
5,18.16,,,,,
6,18.33,,,,,
7,16.14,,,,,
8,15.88,,sd = ,0.981772773,,
9,15.91,,,,,
10,15.92,,,,,
11,18.82,,,,,
12,17.14,,,,,
13,17.41,,,,,
14,16.58,,,,,
15,16.05,,,,,
16,16.52,,,,,
17,15.97,,,,,
18,15.77,,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
