Team Name,Viper Nation,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 24, 2021",,,,,
Race Location,Velix Varela High,,,,,
Race Time Start,11:46 AM,,,,,
Race Time End,11:51 AM,,,,,
Race Type (dropdown),5-Min Consistency,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,17.47,,,,,
2,18.23,,,,,
3,17.92,,,,,
4,16.72,,,,,
5,16.43,,,,,
6,16.03,,,,,
7,16.10,,SD=,0.78384479,,
8,17.50,,,,,
9,16.06,,,,,
10,16.10,,,,,
11,17.04,,,,,
12,16.29,,,,,
13,15.71,,,,,
14,16.22,,,,,
15,15.91,,,,,
16,15.99,,,,,
17,15.56,,,,,
18,15.61,,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
