Team Name,Beast XLR8,,,,,EXAMPLE
Team ID,,,,,,
Race Date,,,,,,
Race Location,,,,,,
Race Time Start,,,,,,
Race Time End,,,,,,
Race Type (dropdown),10-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,17.89,,,,,
2,19.31,,,,,
3,19.54,,,,,
4,18.33,,,,,
5,20.18,,,,,
6,20.14,,,,,
7,17.93,,,,,
8,16.53,,,,,
9,17.21,,,,,
10,24.48,,,,,
11,22.04,,,,,
12,17.79,,,,,
13,17.36,,,,,
14,17.21,,,,,
15,16.92,,,,,
16,19.37,,,,,
17,26.79,,,,,
18,25.07,,,,,
19,23.02,,,,,
20,19.22,,,,,
21,21.56,,,,,
22,18.50,,,,,
23,21.59,,,,,
24,18.53,,,,,
25,16.60,,,,,
26,18.05,,,,,
27,18.55,,,,,
28,17.23,,,,,
29,17.02,,,,,
30,19.23,,,,,
,,,,,,
,                                                          ,,,,,
,,,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
15,Battery,,,,,
18,Battery,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
