Team Name,Ruff Riders,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,Miami Coral Park Senior High,,,,,
Race Time Start,17:35,,,,,
Race Time End,17:45,,,,,
Race Type (dropdown),10-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,16.18,,,,,
2,15.50,,,,,
3,16.24,,,,,
4,16.48,,,,,
5,15.99,,,,,
6,15.70,,,,,
7,15.89,,,,,
8,15.51,,,,,
9,32.61,,,,,
10,16.09,,,,,
11,15.96,,,,,
12,15.16,,,,,
13,15.39,,,,,
14,15.86,,,,,
15,15.76,,,,,
16,15.45,,,,,
17,15.55,,,,,
18,15.87,,,,,
19,15.59,,,,,
20,15.57,,,,,
21,15.74,,,,,
22,16.96,,,,,
23,16.44,,,,,
24,16.01,,,,,
25,15.47,,,,,
26,18.20,,,,,
27,15.58,,,,,
28,15.60,,,,,
29,16.12,,,,,
30,16.12,,,,,
31,15.80,,,,,
32,17.49,,,,,
33,15.90,,,,,
34,14.88,,,,,
35,15.82,,,,,
36,15.37,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
8,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
