Team Name,Piedmont Motorsports,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,"Lafayette, AL",,,,,
Race Time Start,12:46 PM Central,,,,,
Race Time End,12:51 PM Central,,,,,
Race Type (dropdown),5-Min Best Lap,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,16.59,,,,,
2,14.88,,,,,
3,14.98,,,,,
4,15.45,,,,,
5,15.67,,,,,
6,18.76,,,,,
7,15.19,,,,,
8,14.41,,,,,
9,16.56,,min = ,14.41,,
10,14.77,,,,,
11,15.61,,,,,
12,15.38,,,,,
13,15.57,,,,,
14,14.74,,,,,
15,15.16,,,,,
16,24.95,,,,,
17,15.10,,,,,
18,16.98,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
