Team Name,king clam,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 14, 2021",,,,,
Race Location,tennis court,,,,,
Race Time Start,1:15,,,,,
Race Time End,1:45,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,
,,,,,,
Result (dropdown),DNF,,,,,
,,,,,,
"If DNF, why? (dropdown)",General Mechanical,,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1 ,17.066,,,,,
2 ,18.318,,,,,
3 ,19.753,,,,,
4 ,20.151,,,,,
5 ,16.961,,,,,
6 ,17.83,,,,,
7 ,20.681,,,,,
8 ,18.439,,,,,
9 ,19.906,,,,,
10 ,15.619,,,,,
11 ,16.532,,,,,
12 ,17.861,,,,,
13 ,19.151,,,,,
14 ,18.355,,,,,
15 ,23.81,,,,,
16 ,18.125,,,,,
17 ,23.098,,,,,
18 ,17.478,,,,,
19 ,22.203,,,,,
20 ,17.25,,,,,
21 ,20.125,,,,,
22 ,17.571,,,,,
23 ,19.467,,,,,
24 ,32.542,,,,,
25 ,18.407,,,,,
26 ,16.563,,,,,
27 ,17.2,,,,,
28 ,16.236,,,,,
29 ,19.043,,,,,
30 ,18.947,,,,,
31 ,16.529,,,,,
32 ,17.072,,,,,
33 ,17.554,,,,,
34 ,19.142,,,,,
35 ,16.836,,,,,
36 ,16.529,,,,,
37 ,16.573,,,,,
38 ,17.89,,,,,
39 ,15.843,,,,,
40 ,24.074,,,,,
41 ,15.286,,,,,
42 ,17.048,,,,,
43 ,22.744,,,,,
44 ,20.133,,,,,
45 ,198.9,03:18.9,,,,
46 ,47.203,,,,,
47 ,19.811,,,,,
48 ,36:00.0,01:37.9,,,,
49 ,31.074,,,,,
50 ,43.25,,,,,
51 ,15.787,,,,,
52 ,15.091,,,,,
53 ,468.2,07:48.2,,,,
54 ,15.887,,,,,
55 ,16.612,,,,,
,,29.96093333,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
45,Battery,,,,,
48,General Repair,,,,,
54,General Repair,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
